"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Conditional-success sensitivity","RUN_011","Middle-income","fixed_horizon",1,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,374,0,626,626,7480,7480,0,12520,2419989.12587727,2312530.46231752,797699.340834543,4442166.28777278,1,48399782.5175455,46250609.2463503,15953986.8166909,88843325.7554557,9640.78855988936,9651.0281460457,4325.64921374194,14992.4456219498,1,16067.9809331489,16085.0469100762,7209.41535623657,24987.4093699163,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_012","Low-income","fixed_horizon",1,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,214,0,786,786,4280,4280,0,15720,689926.644870117,661804.299519355,187743.351358998,1290187.20447173,1,13798532.8974023,13236085.9903871,3754867.02717997,25803744.0894345,7666.02867318146,7445.43689100596,3451.6411880258,12695.4499123383,1,12776.7144553024,12409.0614850099,5752.73531337633,21159.0831872305,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_013","High-income","annual_independent",1,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,480,0,520,520,9600,9600,0,10400,5764643.42262937,5743260.67769074,4118316.33811552,7525958.90447878,1,115292868.452587,114865213.553815,82366326.7623105,150519178.089576,8006.61353496163,8003.19634975086,5931.29415538597,10075.2495437278,1,13344.3558916027,13338.6605829181,9885.49025897661,16792.0825728797,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_014","Middle-income","annual_independent",1,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,374,0,626,626,7480,7480,0,12520,2408344.35642717,2400557.98420693,1788302.89383059,3070886.89879472,1,48166887.1285435,48011159.6841386,35766057.8766117,61417737.9758944,9603.75716045197,9612.09418147175,7631.37284769883,11501.3241191803,1,16006.2619340866,16020.1569691196,12718.9547461647,19168.8735319672,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_015","Low-income","annual_independent",1,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,214,0,786,786,4280,4280,0,15720,686435.356966247,685017.103922897,502922.954384053,881775.55075462,1,13728707.1393249,13700342.0784579,10058459.0876811,17635511.0150924,7638.31194595973,7631.82136297769,5986.02970115382,9323.42450327068,1,12730.5199099329,12719.7022716295,9976.7161685897,15539.0408387845,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_016","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2400093.13572278,2294695.48024324,775767.864480006,4424921.4744439,1,48001862.7144555,45893909.6048649,15515357.2896001,88498429.4888779,9555.64204537771,9573.0917756981,4212.27627180355,14923.8910057863,1,15926.0700756295,15955.1529594968,7020.46045300591,24873.1516763106,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,685301.070854802,657564.399228003,183147.852665918,1286265.49115978,1,13706021.417096,13151287.9845601,3662957.05331836,25725309.8231957,7594.83231358387,7376.47994872101,3366.59499995153,12633.1707897364,1,12658.0538559731,12294.1332478684,5610.99166658588,21055.2846495606,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2388435.26414045,2380903.44051917,1768512.07689899,3050410.62525615,1,47768705.2828091,47618068.8103833,35370241.5379797,61008212.505123,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_021","Low-income","annual_independent",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,681806.831622818,680339.202397756,498044.353030504,877527.297793471,1,13636136.6324564,13606784.0479551,9960887.06061008,17550545.9558694,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,533.333333333333,53.3333333333333,466.666666666667,520,9600,10666.6666666667,1066.66666666667,10400,5667155.55180858,5376035.5948495,1375742.30576597,11079017.9501495,0.9999,113343111.036172,107520711.89699,27514846.1153193,221580359.00299,7864.50138598818,7687.83439554332,2463.61549782847,13886.3553848105,1,13107.5023099803,12813.0573259055,4106.02582971412,23143.9256413509,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_023","Middle-income","fixed_horizon",0.9,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,415.555555555556,41.5555555555556,584.444444444444,626,7480,8311.11111111111,831.111111111111,12520,2377986.47999556,2272619.2866786,752254.147796162,4407782.20720012,1,47559729.5999112,45452385.7335719,15045082.9559232,88155644.1440024,9461.03480703143,9477.56893838715,4100.37955720038,14846.0354294697,1,15768.3913450524,15795.9482306452,6833.9659286673,24743.3923824495,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_024","Low-income","fixed_horizon",0.9,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,237.777777777778,23.7777777777778,762.222222222222,786,4280,4755.55555555555,475.555555555555,15720,680161.544171119,652493.864832966,178445.078154021,1280432.76967686,1,13603230.8834224,13049877.2966593,3568901.56308042,25608655.3935371,7515.72524736433,7299.04182810749,3270.20820012684,12581.8039541008,1,12526.2087456072,12165.0697135125,5450.34700021139,20969.6732568347,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_025","High-income","annual_independent",0.9,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,533.333333333333,53.3333333333333,466.666666666667,520,9600,10666.6666666667,1066.66666666667,10400,5636231.91218795,5615721.06324023,3990845.22832619,7409719.59867434,1,112724638.243759,112314421.264805,79816904.5665238,148194391.973487,7828.5802287754,7825.10333695377,5743.27095333372,9907.14566380715,1,13047.6337146257,13041.838894923,9572.1182555562,16511.9094396786,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_026","Middle-income","annual_independent",0.9,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,415.555555555556,41.5555555555556,584.444444444444,626,7480,8311.11111111111,831.111111111111,12520,2366314.05048854,2358747.84702707,1747036.25663886,3030220.36967696,1,47326281.0097708,47174956.9405413,34940725.1327771,60604407.3935393,9423.41042422251,9432.17790712196,7442.89872726189,11325.77014388,1,15705.6840403708,15720.2965118699,12404.8312121031,18876.2835731334,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_027","Low-income","annual_independent",0.9,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,237.777777777778,23.7777777777778,762.222222222222,786,4280,4755.55555555555,475.555555555555,15720,676664.025685675,675026.765661219,492719.194543622,872293.144862379,1,13533280.5137135,13500535.3132244,9854383.89087243,17445862.8972476,7487.48302782966,7481.82298075333,5830.01213935137,9177.51894882914,1,12479.1383797161,12469.7049679222,9716.68689891894,15295.8649147152,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_028","High-income","fixed_horizon",0.85,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,564.705882352941,84.7058823529412,435.294117647059,520,9600,11294.1176470588,1694.11764705882,10400,5591673.68028562,5298590.98515206,1293080.70207444,11001471.1864589,0.9999,111833473.605712,105971819.703041,25861614.0414888,220029423.729179,7760.09806995156,7588.22696606565,2340.31029282008,13811.9577175043,1,12933.4967832526,12647.0449434427,3900.51715470014,23019.9295291739,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_029","Middle-income","fixed_horizon",0.85,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,440,66,560,626,7480,8800,1320,12520,2353279.04124161,2246512.68405836,725160.911500402,4384668.59240454,1,47065580.8248322,44930253.6811673,14503218.230008,87693371.8480908,9355.2973053503,9369.94989279321,3970.60201272718,14759.1017835176,1,15592.1621755838,15616.5831546553,6617.67002121197,24598.5029725293,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_030","Low-income","fixed_horizon",0.85,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,251.764705882353,37.764705882353,748.235294117647,786,4280,5035.29411764706,755.294117647059,15720,674417.367289356,646477.371348902,171763.199486909,1275265.3050647,1,13488347.3457871,12929547.426978,3435263.98973818,25505306.1012939,7427.3114674719,7210.80805781326,3157.67923278937,12513.1974394866,1,12378.8524457865,12018.0134296888,5262.79872131562,20855.329065811,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_031","High-income","annual_independent",0.85,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,564.705882352941,84.7058823529412,435.294117647059,520,9600,11294.1176470588,1694.11764705882,10400,5560695.72957535,5541035.64304826,3915940.41068459,7334189.21213165,1,111213914.591507,110820712.860965,78318808.2136918,146683784.242633,7723.8547545482,7720.71033430164,5633.70719679674,9808.20570640937,1,12873.0912575803,12867.8505571694,9389.51199466124,16347.0095106823,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_032","Middle-income","annual_independent",0.85,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,440,66,560,626,7480,8800,1320,12520,2341590.34111288,2333758.05180689,1720351.36502087,3005498.28843751,1,46831806.8222575,46675161.0361378,34407027.3004173,60109965.7687503,9317.32410879341,9329.0420515452,7333.76022167247,11222.436428911,1,15528.8735146557,15548.403419242,12222.9337027874,18704.0607148517,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_033","Low-income","annual_independent",0.85,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,251.764705882353,37.764705882353,748.235294117647,786,4280,5035.29411764706,755.294117647059,15720,670916.183755927,669219.513424231,486575.396297881,866458.989245451,1,13418323.6751185,13384390.2684846,9731507.92595763,17329179.784909,7398.76013481197,7393.19607514328,5734.43808138318,9090.44523276637,1,12331.2668913533,12321.9934585721,9557.3968023053,15150.7420546106,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_034","High-income","fixed_horizon",0.8,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,600,120,400,520,9600,12000,2400,10400,5506756.57482229,5212734.72637683,1214073.44327018,10930212.671539,0.9994,110135131.496446,104254694.527537,24281468.8654036,218604253.430779,7642.64433941038,7472.18471959252,2204.41535838222,13712.3700666207,0.9999,12737.740565684,12453.6411993209,3674.0255973037,22853.9501110345,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_035","Middle-income","fixed_horizon",0.8,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,467.5,93.5,532.5,626,7480,9350,1870,12520,2325483.17264342,2217267.47748325,693558.724360889,4364065.81107442,1,46509663.4528684,44345349.549665,13871174.4872178,87281316.2214884,9236.34261595903,9250.77158168241,3832.72226978992,14667.8414820302,1,15393.9043599317,15417.9526361373,6387.87044964986,24446.4024700504,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_036","Low-income","fixed_horizon",0.8,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,267.5,53.5,732.5,786,4280,5350,1070,15720,667955.168297372,639835.424878196,164144.561522261,1268682.29320822,1,13359103.3659474,12796708.4975639,3282891.23044522,25373645.8641644,7327.84596509292,7113.75422388361,3049.74357180788,12425.9880078725,1,12213.0766084882,11856.257039806,5082.90595301314,20709.9800131208,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_037","High-income","annual_independent",0.8,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,600,120,400,520,9600,12000,2400,10400,5475717.52413617,5456860.07834263,3827851.34134501,7258168.39620017,1,109514350.482723,109137201.566853,76557026.8269001,145163367.924003,7606.03859604261,7602.51670481908,5511.46110734975,9689.55397473071,1,12676.7309934043,12670.8611746985,9185.76851224959,16149.2566245512,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_038","Middle-income","annual_independent",0.8,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,467.5,93.5,532.5,626,7480,9350,1870,12520,2313776.16806525,2306110.29548668,1691758.52679715,2978482.73171647,1,46275523.361305,46122205.9097337,33835170.535943,59569654.6343295,9197.97700393568,9210.28226747241,7212.53153778339,11112.4394559715,1,15329.9616732261,15350.4704457873,12020.8858963057,18520.7324266192,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_039","Low-income","annual_independent",0.8,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,267.5,53.5,732.5,786,4280,5350,1070,15720,664449.86158496,662690.669607683,479607.070033772,860077.298183252,1,13288997.2316992,13253813.3921537,9592141.40067543,17201545.963665,7298.94688016707,7292.13735623397,5625.28542236112,8992.11807037551,1,12164.9114669451,12153.56226039,9375.4757039352,14986.8634506259,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_040","High-income","fixed_horizon",0.75,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,640,160,360,520,9600,12800,3200,10400,5410517.18863052,5121886.67451345,1097119.45590261,10855129.1925551,0.9988,108210343.77261,102437733.490269,21942389.1180521,217102583.851102,7509.5301114637,7347.13770869777,2054.68761851715,13590.4368868336,0.9999,12515.8835191062,12245.2295144963,3424.47936419525,22650.7281447227,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_041","Middle-income","fixed_horizon",0.75,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,498.666666666667,124.666666666667,501.333333333333,626,7480,9973.33333333333,2493.33333333333,12520,2293981.18823213,2187513.47803489,664144.465617756,4334281.51840309,1,45879623.7646427,43750269.5606977,13282889.3123551,86685630.3680618,9101.52730131558,9114.57269365967,3675.00084153691,14550.251385191,1,15169.2121688593,15190.9544894328,6125.00140256152,24250.4189753183,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_042","Low-income","fixed_horizon",0.75,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,285.333333333333,71.3333333333333,714.666666666667,786,4280,5706.66666666667,1426.66666666667,15720,660631.342773124,633172.933373499,156759.515903504,1262680.10723694,0.9999,13212626.8554625,12663458.66747,3135190.31807009,25253602.1447388,7215.11839573007,7013.1856234128,2912.61059888187,12339.2346848402,1,12025.1973262168,11688.642705688,4854.35099813645,20565.3911414004,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_043","High-income","annual_independent",0.75,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,640,160,360,520,9600,12800,3200,10400,5379408.8913051,5359556.59438736,3721465.70511933,7163267.20519816,1,107588177.826102,107191131.887747,74429314.1023866,143265344.103963,7472.51361640293,7470.05610929224,5369.19004790987,9554.29238511528,1,12454.1893606716,12450.0935154871,8948.65007984979,15923.8206418588,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_044","Middle-income","annual_independent",0.75,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,498.666666666667,124.666666666667,501.333333333333,626,7480,9973.33333333333,2493.33333333333,12520,2282253.43861128,2274833.97122702,1659955.43588268,2948851.63633922,1,45645068.7722255,45496679.4245404,33199108.7176536,58977032.7267843,9062.71695176359,9075.90821454038,7073.66725611057,10979.0911129827,1,15104.5282529393,15126.5136909006,11789.445426851,18298.4851883045,0.119582861398382,0.35,0.591006895018954
